"","Constituency","MP","Party","vote","refno","PCON11CD","Estimated.Leave.proportion","Known.result","Figure.to.use","Notes","Region","Errors","X","traitor"
"1","Banff and Buchan","Dr Eilidh Whiteford ","Scottish National Party",1,27,"S14000007",0.5401840179,NA,0.5401840179,"","Scotland",NA,NA,0
"2","Carmarthen East and Dinefwr","Jonathan Edwards ","Plaid Cymru",1,131,"W07000067",0.5376553474,NA,0.5376553474,"","Wales",NA,NA,0
"3","Carshalton and Wallington","Tom Brake ","Liberal Democrat",1,133,"E14000621",0.5630242446,NA,0.5630242446,"","London",NA,NA,0
"4","Cynon Valley","Ann Clwyd ","Labour",1,174,"W07000070",0.5696266259,NA,0.5696266259,"","Wales",NA,NA,0
"5","Newcastle upon Tyne North","Catherine McKinnell ","Labour",1,416,"E14000833",0.5714743293,NA,0.5714743293,"","North East",NA,NA,0
"6","Newcastle-under-Lyme","Paul Farrelly ","Labour",1,413,"E14000834",0.6166735906,NA,0.6166735906,"","West Midlands",NA,NA,0
"7","Nottingham North","Mr Graham Allen ","Labour",1,433,"E14000866",0.6549904627,0.6380805601,0.6380805601,"http://www.bbc.co.uk/news/uk-politics-38762034","East Midlands",-0.01690990266,NA,0
"8","Rhondda","Chris Bryant ","Labour",1,470,"W07000052",0.6124288659,NA,0.6124288659,"","Wales",NA,NA,0
"9","Southampton, Test","Dr Alan Whitehead ","Labour",1,524,"E14000956",0.5065283649,NA,0.5065283649,"","South East",NA,NA,0
"10","Wakefield","Mary Creagh ","Labour",1,591,"E14001009",0.6198129368,0.6276506725,0.6276506725,"http://www.bbc.co.uk/news/uk-politics-38762034","Yorkshire and The Humber",0.007837735742,NA,0
